"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"2147","Steven Davis",2015,"31(3)",2612,3,1.6,44.2,83.5,1.1,2.4,0.1,7.04,"Southampton","M(CLR)","southampton-fc",4680000
"2148","Steven Davis",2016,"12",1057,1,1.5,54.2,86.6,0.6,4,0.1,6.71,"Southampton","M(CLR)","southampton-fc",5100000
"2149","Stewart Downing",2009,"23(2)",2074,1,1.8,34.5,81.3,1.8,2.7,0.1,7.05,"Aston Villa","M(CLR)",NA,NA
"2150","Stewart Downing",2010,"38",3387,7,2.2,39.1,77.5,2.1,2.2,0.1,7.18,"Aston Villa","M(CLR)",NA,NA
"2151","Stewart Downing",2011,"28(8)",2477,0,1.5,34.6,85.4,1.3,1.3,0,6.65,"Liverpool","M(CLR)","liverpool-fc",10200000
"2152","Stewart Downing",2012,"25(4)",2194,5,2.3,36.4,83.6,1.3,2,0,7,"Liverpool","M(CLR)","liverpool-fc",10200000
"2153","Stewart Downing",2013,"29(3)",2511,2,2,25.8,80.5,2.6,2,0.1,6.91,"West Ham","M(CLR)","west-ham-united",7230000
"2154","Stewart Downing",2014,"37",3314,8,2.3,40,85,2.2,3.1,0.1,7,"West Ham","M(CLR)","west-ham-united",4250000
"2155","Stewart Downing",2016,"10(2)",912,2,1.2,37.9,80.7,1.7,2.9,0,6.69,"Middlesbrough","M(CLR)","middlesbrough-fc",5100000
"2156","Tom Cleverley",2010,"19(6)",1634,2,1,25.4,81.6,0.4,0.6,0,6.73,"Wigan","M(CLR)","manchester-united",638000
"2157","Tom Cleverley",2012,"18(4)",1456,2,0.9,48.9,90.2,0.2,3,0,6.82,"Manchester United","M(CLR)","manchester-united",7230000
"2158","Tom Cleverley",2013,"18(4)",1581,0,0.5,51.7,89.6,0.1,3.8,0,6.74,"Manchester United","M(CLR)","manchester-united",10630000
"2159","Tom Cleverley",2014,"31",2520,0,0.8,45.6,86.3,0.5,2.3,0,6.64,"Aston Villa","M(CLR)","manchester-united",11900000
"2160","Tom Cleverley",2015,"17(5)",1614,4,1,40.2,83.1,0.6,2.3,0,6.87,"Everton","M(CLR)","everton-fc",7650000
"2161","Tom Cleverley",2016,"4(5)",401,0,0.3,22.1,83.4,0.2,1.3,0,6.26,"Everton","M(CLR)","everton-fc",7650000
