"","match_point","match_flag","coach_name","season_edits"
"3683",0,"lose","Brian Laws",2013
"3684",1,"draw","Brian Laws",2013
"3685",3,"win","Brian Laws",2013
"3686",3,"win","Brian Laws",2012
"3687",1,"draw","Brian Laws",2012
"3688",0,"lose","Brian Laws",2012
"3689",0,"lose","Brian Laws",2012
"3690",0,"lose","Brian Laws",2012
"3691",3,"win","Brian Laws",2012
"3692",0,"lose","Brian Laws",2012
"3693",3,"win","Brian Laws",2012
"3694",0,"lose","Brian Laws",2012
"3695",3,"win","Brian Laws",2012
"3696",1,"draw","Brian Laws",2012
"3697",0,"lose","Brian Laws",2012
"3698",0,"lose","Brian Laws",2012
"3699",0,"lose","Brian Laws",2012
"3700",3,"win","Brian Laws",2012
"3701",0,"lose","Brian Laws",2012
"3702",0,"lose","Brian Laws",2010
"3703",0,"lose","Brian Laws",2010
"3704",0,"lose","Brian Laws",2010
"3705",1,"draw","Brian Laws",2010
"3706",1,"draw","Brian Laws",2010
"3707",0,"lose","Brian Laws",2010
"3708",1,"draw","Brian Laws",2010
"3709",3,"win","Brian Laws",2010
"3710",3,"win","Brian Laws",2010
"3711",0,"lose","Brian Laws",2010
"3712",0,"lose","Brian Laws",2010
"3713",3,"win","Brian Laws",2010
"3714",3,"win","Brian Laws",2010
"3715",0,"lose","Brian Laws",2009
"3716",0,"lose","Brian Laws",2009
"3717",0,"lose","Brian Laws",2009
"3718",0,"lose","Brian Laws",2009
"3719",1,"draw","Brian Laws",2009
"3720",0,"lose","Brian Laws",2009
"3721",0,"lose","Brian Laws",2009
"3722",0,"lose","Brian Laws",2009
"3723",0,"lose","Brian Laws",2009
"3724",0,"lose","Brian Laws",2009
"3725",0,"lose","Brian Laws",2009
"3726",1,"draw","Brian Laws",2009
"3727",1,"draw","Brian Laws",2009
"3728",0,"lose","Brian Laws",2009
"3729",0,"lose","Brian Laws",2009
"3730",3,"win","Brian Laws",2009
"3731",0,"lose","Brian Laws",2009
"3732",3,"win","Brian Laws",2009
"3733",3,"win","Brian Laws",2009
"3734",1,"draw","Brian Laws",2009
"3735",1,"draw","Brian Laws",2009
"3736",1,"draw","Brian Laws",2008
"3737",0,"lose","Brian Laws",2008
"3738",3,"win","Brian Laws",2008
"3739",1,"draw","Brian Laws",2008
"3740",0,"lose","Brian Laws",2008
