"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"1685","Tim Krul",2011,"38",3420,0,0.1,34.3,43.3,0,11.6,0,6.74,"Newcastle United","GK",NA,NA
"1686","Tim Krul",2012,"24",2127,1,0.1,31,46.8,0,10.4,0,6.67,"Newcastle United","GK",NA,NA
"1687","Tim Krul",2013,"36",3240,0,0.1,31,51.3,0,10.6,0,6.6,"Newcastle United","GK",NA,NA
"1688","Tim Krul",2014,"30",2700,1,0,31.2,47.8,0,9.1,0,6.4,"Newcastle United","GK",NA,NA
"1689","Tom Heaton",2014,"38",3420,0,0.1,26.3,46,0,9.2,0,6.82,"Burnley","GK","burnley-fc",1020000
"1690","Tom Heaton",2016,"12",1080,0,0,31.2,42.8,0,10.4,0,7.06,"Burnley","GK","burnley-fc",2550000
"1691","Victor Valdes",2016,"11",990,0,0,32.5,50.4,0,11,0,6.52,"Middlesbrough","GK","middlesbrough-fc",2130000
"1692","Vito Mannone",2013,"28(1)",2567,0,0.1,34.1,53.3,0,10.1,0,7.03,"Sunderland","GK","sunderland-afc",850000
"1693","Vito Mannone",2015,"19",1710,0,0,29.4,39.9,0,7.8,0,6.97,"Sunderland","GK","sunderland-afc",2550000
"1694","Wayne Hennessey",2010,"24",2160,0,0,38,37.8,0,12.5,0,6.63,"Wolverhampton Wanderers","GK",NA,NA
"1695","Wayne Hennessey",2011,"34",3060,0,0.2,37.2,44.8,0,14.2,0,6.88,"Wolverhampton Wanderers","GK",NA,NA
"1696","Wayne Hennessey",2015,"29",2610,0,0,26.1,43.8,0,7.6,0,6.48,"Crystal Palace","GK","crystal-palace",1700000
"1697","Wojciech Szczesny",2011,"38",3420,0,0,26.9,62.1,0,5.8,0,6.6,"Arsenal","GK","arsenal-fc",1700000
"1698","Wojciech Szczesny",2012,"25",2250,0,0,24.4,63.3,0,8.2,0,6.83,"Arsenal","GK","arsenal-fc",11900000
"1699","Wojciech Szczesny",2013,"37",3330,0,0,26.5,62.4,0,10.1,0,7.04,"Arsenal","GK","arsenal-fc",12750000
